Year;HCPI
1970;8.6
1970;8.6
1970;8.7
1970;8.8
1971;9.1
1971;9.1
1971;9.2
1971;10.4
1972;11.3
1972;11.3
1972;11.4
1972;12.1
1973;12.6
1973;12.5
1973;12.8
1973;13.3
1974;13.7
1974;14.5
1974;15.1
1974;15.4
1975;16.0
1975;16.4
1975;16.7
1975;17.2
1976;18.2
1976;18.4
1976;18.5
1976;18.8
1977;19.2
1977;19.6
1977;20.0
1977;20.3
1978;20.8
1978;20.7
1978;21.1
1978;21.4
1979;22.0
1979;22.3
1979;22.8
1979;23.4
1980;24.5
1980;25.7
1980;26.3
1980;27.0
1981;28.0
1981;28.4
1981;29.1
1981;29.7
1982;30.2
1982;30.5
1982;31.0
1982;31.5
1983;32.2
1983;32.7
1983;33.1
1983;33.5
1984;34.4
1984;34.7
1984;34.5
1984;34.9
1985;35.9
1985;36.3
1985;36.1
1985;36.3
1986;36.6
1986;36.8
1986;36.7
1986;37.2
1987;37.9
1987;38.0
1987;39.0
1987;40.6
1988;42.5
1988;43.1
1988;43.5
1988;44.7
1989;45.4
1989;45.9
1989;46.3
1989;47.0
1990;48.9
1990;49.5
1990;50.0
1990;51.3
1991;52.8
1991;52.6
1991;53.6
1991;53.7
1992;54.3
1992;54.5
1992;57.2
1992;57.1
1993;58.6
1993;58.7
1993;58.8
1993;59.1
1994;59.4
1994;59.1
1994;58.6
1994;59.5
1995;60.3
1995;60.4
1995;60.2
1995;60.8
1996;62.0
1996;62.4
1996;62.4
1996;62.3
1997;64.3
1997;64.9
1997;64.1
1997;64.1
1998;66.2
1998;67.8
1998;68.7
1998;69.6
1999;69.9
1999;69.7
1999;68.8
1999;69.2
2000;69.4
2000;70.3
2000;70.3
2000;70.5
2001;73.1
2001;73.3
2001;72.8
2001;73.4
2002;73.8
2002;73.9
2002;73.4
2002;73.6
2003;76.3
2003;77.0
2003;76.6
2003;77.2
2004;78.0
2004;79.1
2004;78.9
2004;79.7
2005;80.5
2005;80.6
2005;80.7
2005;81.5
2006;82.2
2006;81.9
2006;82.7
2006;84.5
2007;85.2
2007;87.2
2007;87.0
2007;87.8
2008;93.5
2008;93.5
2008;93.5
2008;93.5
2009;94.3
2009;94.6
2009;97.9
2009;98.9
2010;99.1
2010;99.5
2010;99.8
2010;101.6
2011;105.4
2011;107.3
2011;108.0
2011;108.4
2012;110.0
2012;111.6
2012;110.9
2012;111.3
2013;114.2
2013;113.8
2013;113.7
2013;115.1
2014;115.1
2014;114.5
2014;114.4
2014;115.1
2015;116.9
2015;115.6
2015;116.0
2015;116.9
2016;117.7
2016;121.2
2016;122.5
2016;122.0
2017;124.8
2017;124.6
2017;125.0
2017;125.2
2018;127.4
2018;130.3
2018;130.6
2018;131.6
2019;133.5
2019;133.4
2019;131.7
2019;130.7
2020;130.1
2020;130.5
2020;128.2
2020;126.7
2021;129.5
2021;128.7
2021;129.0
2021;129.0
2022;133.5
2022;135.0
2022;136.0
2022;135.1
2023;136.2
;
;IFS
;2010
;
;1511.315
;66.156
;0
;0
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
